Product Unique ID,Product Category,Product Title,Product Description,Product Condition,Product Brand,Product Material,Variation Unique ID,Variation Size,Variation Color,Variation Quantity,Target Price,Buy Now Price,Retail Price,Starting Bid,Reserve Price,Scheduling Fee Bid,Max Daily Schedules,Shipping Price,Ships From Country,Shipping Weight In Ounces,Days To Process Order,Expedited Shipping Price,Expedited Delivery Time,Buy One Get One Available,Accessory Price,Accessory Description,Accessory Unique ID,Primary Image URL,Extra Image URL 1,Extra Image URL 2,Extra Image URL 3,Extra Image URL 4,Status,Campaign Name
XLX_1,Jewelry | Bracelets,Europe and the United States fashion simple and generous double diamond opening bracelet fashion relaxed,"Treatment process: drill insert. 
Category: bracelet. 
Color: golden GLD. 
Product category: hand jewelry. 
Packaging: independent packaging. 
Whether cross-border sourcing: yes. 
Inlay material: not inlaid. 
Suitable gifts: opening ceremony, tourist souvenir, Business gifts, advertising promotion, Anniversary Celebration, Fair, employee Welfare. 
Style: women. 
Material: Alloy metal. 
Modelling: flowers. 
Style: Europe and America. 
Major sales areas: Europe, North America, South America, Southeast Asia, Northeast Asia, Middle East, Africa",New,"",Alloy Metal,XLX_1_gold,,Gold,99,1.0,1.0,180.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/46b20798bb75ef20a7a0cd151a12096a/original.jpg,https://images.tophatter.com/e2158f36d13abd165f8a438386236bd5/original.jpg,https://images.tophatter.com/d99bd08b8f6dedabeff3f79b58a9d6fe/original.jpg,https://images.tophatter.com/2ece823bc63c3f4a7106e4554f39a8a7/original.jpg,,Enabled,
XLX_3,Jewelry | Bracelets,European Union bracelet key Lock inlay drill hand Decoration male and female can wear manufacturer Direct selling,"Treatment process: electroplating
 Category: bracelet
 Color: gold
 Product category: hand ornaments
 Packaging: individual packaging
 Cross - border supply: yes
 Mosaic material: ornaments
 For gift-giving occasions: tourism commemorative, business gifts, advertising
 Style: women
 Material: alloy
 Shapes: geometry
 Style: Europe and America
 Main sales areas: Europe, north America, south America, southeast Asia, northeast Asia, middle east, Africa",New,"",Alloy Metal,XLX_3,,Gold,99,1.0,1.0,180.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/4de49ce6e8a80ca39b7c799e2f677455/original.jpg,https://images.tophatter.com/be82d57514e19fb052e7120cfedc7e78/original.jpg,https://images.tophatter.com/0fda0036dd3494aaa41719fe044d411a/original.jpg,,,Enabled,
XLX_4,Jewelry | Bracelets,European style style metal helmet volcano stone bracelet,"Color: silver ,gold
Product category: hand jewelry. 
Packaging: independent packaging. 
Whether cross-border sourcing: yes. 
Inlay material: not inlaid. 
Suitable gift settings: tourism souvenir advertising promotion employee welfare. 
Style: women. 
Material: non-metallic. 
Modeling: geometry. 
Style: Europe and America. 
Major sales areas: Europe, North America, South America, Southeast Asia, Northeast Asia, Middle East, Africa",New,"",Non-Metallic,XLX_4_sliver,,Silver,99,1.0,1.0,299.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/f5b2f8c135d5cfda851d978b80b89033/original.jpg,https://images.tophatter.com/95552b95f9b60e9c2abc4aa7f2f08418/original.jpg,https://images.tophatter.com/8ded6ae33fcfa6bd3d590edbf08ea271/original.jpg,https://images.tophatter.com/8a719f35da8696547214e214318db7b9/original.jpg,https://images.tophatter.com/54c1b93905817da9266e8da33975d43a/original.jpg,Enabled,
XLX_4,,,,,,,XLX_4_gold,,Gold,99,,,,,,,,,,,,,,,,,,,,
XLX_5,Jewelry | Bracelets,Brief metal diamond bracelet Korean version fashion fresh ladies new hand ornaments,"Treatment process: drill insert. 
Category: bracelet. 
Colour: colour mixing, white. 
Product category: hand jewelry. 
Packaging: independent packaging. 
Are cross-border sources: yes. 
Have authorized own brands: yes. 
Inlay material: not inlaid. 
Suitable gifts: opening ceremony, tourist souvenir, advertising promotion, business gifts, anniversary celebration, exhibition, employee welfare. 
Style: women. 
Material: alloy. 
Modeling: geometry. 
Style: simplicity. 
Main sales areas: northeast Asia, Europe, Africa, Southeast Asia, Middle East, South America, North America",New,"",Alloy Metal,XLX_5_white,,White,98,1.0,1.0,299.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/479486792a6069fb19ad000ba99a19a8/original.jpg,https://images.tophatter.com/92a6779d4d612345d97e6b983cf0407b/original.jpg,https://images.tophatter.com/4376744795c0b7fb782a14133f3673fc/original.jpg,https://images.tophatter.com/341c8f3dcc405ccfc4face13863cbbbd/original.jpg,https://images.tophatter.com/a422876c8aa7759cc03a13744158e20b/original.jpg,Enabled,
XLX_5,,,,,,,XLX_5_colour mixing,,colour mixing,99,,,,,,,,,,,,,,,,,,,,
XLX_6,Jewelry | Bracelets,Creative Elephant Wings Metal pendant bracelet Fashion Love key hand Decoration,"Processing technology: electroplating. 
Category: bracelet. 
Colour: silver. 
Product category: hand jewelry. 
Packaging: independent packaging. 
Are cross-border sources: yes. 
Inlay material: not inlaid. 
Suitable gifts: opening ceremony, tourist souvenir, advertising promotion, business gifts, anniversary celebration, exhibition, employee welfare. 
Style: women. 
Material: alloy. 
Modelling: geometric type. 
Style: fashion OL. 
Main sales areas: northeast Asia, Europe, Africa, Southeast Asia, Middle East, South America, North America",New,"",Alloy Metal,XLX_6_silver,,Silver,99,1.0,1.0,299.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/450c99e121075b6f23c6e80a317a16e2/original.jpg,https://images.tophatter.com/cea758a3d779c7426cc387210e007999/original.jpg,https://images.tophatter.com/8c123abedc0c3b0c3f79ff6922d4acef/original.jpg,https://images.tophatter.com/5e28a9e1efab6cd5182098eb4de500d2/original.jpg,https://images.tophatter.com/86ec57d80b2c7ac6ab6f780fff72914e/original.jpg,Enabled,
XLX_7,Jewelry | Bracelets,Metal love key pendant chain and European and American fashion ladies' new hand ornaments,"Treatment process: drill insert. 
Category: bracelet. 
Colour: gold. 
Product category: hand jewelry. 
Packaging: independent packaging. 
Are cross-border sources: yes. 
Inlay material: not inlaid. 
Suitable gifts: opening ceremony, tourist souvenir, advertising promotion, business gifts, anniversary celebration, exhibition, employee welfare. 
Style: women.  
Material: alloy. 
Modelling: geometric type. 
Style: fashion OL. 
Main sales areas: northeast Asia, Europe, Africa, Southeast Asia, Middle East, South America, North America",New,"",Alloy Metal,XLX_7_Gold,,Gold,99,1.0,1.0,199.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/628d6de166f36109e97fed20e585bcf5/original.jpg,https://images.tophatter.com/1650757d16827478deab0e94f1959a6d/original.jpg,https://images.tophatter.com/724cd754bfaf8a6a54b5d2bea09bf3f2/original.jpg,https://images.tophatter.com/171740ee63a85250996c44b3f636a0dc/original.jpg,https://images.tophatter.com/4bd7260d0fe211104d5442bdc15f4d89/original.jpg,Enabled,
XLX_8,Jewelry | Bracelets,European and American new gold plating color lion head Bracelet,"Type: Bracelet
Color: gold, silver
Product categories: Jewelry
Packing: independent packaging
Whether cross-border supply is:
Material: non mosaic mosaic
Applicable occasions gifts, opening ceremony, tourism souvenirs, business gifts, promotional advertising, anniversary celebration, employee benefits
Style: Women
Material: Alloy
Other: geometric type
Style: Europe and the United States
The main sales regions: Europe, North America, South America, Southeast Asia, Northeast Asia, the Middle East and Africa",New,"",Alloy Metal,XLX_8_gold,,Gold,99,1.0,1.0,199.0,1,,0.0,,7.0,China,,4,,,Yes,,,,https://images.tophatter.com/7feb9ee2c3da0a9e5537f921e86a795c/original.jpg,https://images.tophatter.com/6aa79baac6387d7a1ac0c57b113115f2/original.jpg,https://images.tophatter.com/283c8a873ded722ca3a431e6bbc362f5/original.jpg,https://images.tophatter.com/0c8a7860168715df379880253ed2db1a/original.jpg,https://images.tophatter.com/4cbb679eece1f520f46f95963b1b344c/original.jpg,Enabled,
XLX_8,,,,,,,XLX_8_silver,,Silver,99,,,,,,,,,,,,,,,,,,,,
